Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Pr�dko�� obrotowa [obr/sek]
305057	10,020000	10,070000	0,000000
305063	9,780000	9,790000	0,000000
305071	9,500000	9,600000	0,000000
305078	9,400000	9,530000	0,000000
305085	9,480000	9,620000	0,000000
305091	9,680000	9,900000	0,000000
305098	9,940000	10,030000	0,000000
305105	10,100000	10,110000	0,000000
305113	9,990000	10,030000	0,000000
305119	9,790000	9,900000	0,000000
305126	9,550000	9,650000	0,000000
305133	9,410000	9,550000	0,000000
305139	9,480000	9,630000	0,000000
305146	9,640000	9,850000	0,000000
305154	9,850000	10,000000	0,000000
305161	9,960000	10,060000	0,000000
305167	9,960000	9,960000	0,000000
305174	9,780000	9,880000	0,000000
305181	9,620000	9,690000	0,000000
305188	9,470000	9,600000	0,000000
305195	9,540000	9,630000	0,000000
305202	9,670000	9,840000	0,000000
305209	9,850000	10,010000	0,000000
305216	9,960000	10,020000	0,000000
305222	9,940000	9,960000	0,000000
305229	9,790000	9,850000	0,000000
305236	9,640000	9,770000	0,000000
305243	9,530000	9,620000	0,000000
305250	9,530000	9,650000	0,000000
305257	9,690000	9,790000	0,000000
305264	9,850000	9,970000	0,000000
305270	9,930000	9,990000	0,000000
305277	9,930000	9,950000	0,000000
305285	9,800000	9,810000	0,000000
305292	9,680000	9,740000	0,000000
305298	9,610000	9,650000	0,000000
305305	9,600000	9,710000	0,000000
305312	9,670000	9,800000	0,000000
305318	9,810000	9,950000	0,000000
305326	9,900000	9,940000	0,000000
305333	9,900000	9,930000	0,000000
305340	9,790000	9,800000	0,000000
305346	9,680000	9,750000	0,000000
305353	9,590000	9,710000	0,000000
305360	9,620000	9,720000	0,000000
305368	9,690000	9,820000	0,000000
305374	9,790000	9,920000	0,000000
305381	9,860000	9,980000	0,000000
305388	9,850000	9,910000	0,000000
305394	9,790000	9,830000	0,000000
305401	9,680000	9,790000	0,000000
305409	9,610000	9,720000	0,000000
305416	9,640000	9,720000	0,000000
305422	9,750000	9,790000	0,000000
305429	9,800000	9,960000	0,000000
305436	9,860000	9,960000	0,000000
305443	9,840000	9,870000	0,000000
305449	9,760000	9,810000	0,000000
305457	9,670000	9,760000	0,000000
305464	9,640000	9,720000	0,000000
305471	9,640000	9,760000	0,000000
305477	9,720000	9,830000	0,000000
305484	9,780000	9,900000	0,000000
305491	9,850000	9,930000	0,000000
305498	9,820000	9,890000	0,000000
305505	9,750000	9,820000	0,000000
305512	9,680000	9,740000	0,000000
305519	9,570000	9,710000	0,000000
305525	9,640000	9,750000	0,000000
305532	9,710000	9,830000	0,000000
305540	9,810000	9,910000	0,000000
305547	9,860000	10,010000	0,000000
305553	9,860000	9,930000	0,000000
305560	9,780000	9,810000	0,000000
305567	9,680000	9,740000	0,000000
305573	9,620000	9,750000	0,000000
305581	9,570000	9,780000	0,000000
305588	9,660000	9,830000	0,000000
305595	9,770000	9,890000	0,000000
305601	9,850000	9,960000	0,000000
305608	9,860000	9,920000	0,000000
305615	9,780000	9,800000	0,000000
305623	9,670000	9,770000	0,000000
305629	9,600000	9,730000	0,000000
305636	9,620000	9,730000	0,000000
305643	9,700000	9,800000	0,000000
305649	9,800000	9,900000	0,000000
305656	9,880000	9,970000	0,000000
305664	9,880000	9,940000	0,000000
305671	9,790000	9,820000	0,000000
305677	9,700000	9,760000	0,000000
305684	9,610000	9,730000	0,000000
305691	9,590000	9,730000	0,000000
305698	9,670000	9,790000	0,000000
305704	9,770000	9,880000	0,000000
305712	9,860000	9,970000	0,000000
305719	9,870000	9,930000	0,000000
305725	9,810000	9,900000	0,000000
305732	9,690000	9,790000	0,000000
305739	9,630000	9,720000	0,000000
305746	9,590000	9,700000	0,000000
305753	9,650000	9,800000	0,000000
305760	9,730000	9,860000	0,000000
305767	9,820000	9,960000	0,000000
305774	9,880000	9,980000	0,000000
305780	9,860000	9,880000	0,000000
305787	9,750000	9,780000	0,000000
305795	9,640000	9,720000	0,000000
305801	9,600000	9,700000	0,000000
305808	9,630000	9,740000	0,000000
305815	9,740000	9,840000	0,000000
305822	9,840000	9,940000	0,000000
305828	9,890000	9,970000	0,000000
305836	9,830000	9,930000	0,000000
305843	9,740000	9,810000	0,000000
305850	9,640000	9,700000	0,000000
305856	9,620000	9,730000	0,000000
305863	9,630000	9,790000	0,000000
305870	9,720000	9,840000	0,000000
305876	9,820000	9,890000	0,000000
305884	9,870000	9,970000	0,000000
305891	9,850000	9,940000	0,000000
305898	9,800000	9,840000	0,000000
305904	9,680000	9,690000	0,000000
305911	9,590000	9,720000	0,000000
305918	9,610000	9,750000	0,000000
305926	9,680000	9,830000	0,000000
305932	9,790000	9,870000	0,000000
305939	9,860000	9,940000	0,000000
305946	9,860000	9,910000	0,000000
305952	9,780000	9,890000	0,000000
305959	9,690000	9,760000	0,000000
305967	9,630000	9,750000	0,000000
305974	9,610000	9,770000	0,000000
305980	9,660000	9,820000	0,000000
305987	9,730000	9,890000	0,000000
305994	9,850000	9,930000	0,000000
306001	9,850000	9,930000	0,000000
306008	9,800000	9,900000	0,000000
306015	9,720000	9,770000	0,000000
306022	9,620000	9,720000	0,000000
306028	9,610000	9,710000	0,000000
306035	9,660000	9,760000	0,000000
306042	9,770000	9,830000	0,000000
306050	9,850000	9,850000	0,000000
306056	9,860000	9,960000	0,000000
306063	9,800000	9,870000	0,000000
306070	9,740000	9,780000	0,000000
306077	9,670000	9,710000	0,000000
306083	9,640000	9,740000	0,000000
306091	9,660000	9,780000	0,000000
306098	9,720000	9,830000	0,000000
306104	9,840000	9,910000	0,000000
306111	9,860000	9,940000	0,000000
306118	9,800000	9,910000	0,000000
306125	9,730000	9,850000	0,000000
306131	9,660000	9,750000	0,000000
306139	9,630000	9,730000	0,000000
306146	9,650000	9,740000	0,000000
306153	9,730000	9,830000	0,000000
306159	9,820000	9,870000	0,000000
306166	9,850000	9,910000	0,000000
306173	9,790000	9,880000	0,000000
306180	9,760000	9,840000	0,000000
306187	9,660000	9,730000	0,000000
306194	9,670000	9,760000	0,000000
306201	9,670000	9,770000	0,000000
306207	9,690000	9,800000	0,000000
306214	9,760000	9,860000	0,000000
306222	9,820000	9,900000	0,000000
306229	9,800000	9,870000	0,000000
306235	9,770000	9,860000	0,000000
306242	9,720000	9,760000	0,000000
306249	9,680000	9,730000	0,000000
306255	9,670000	9,790000	0,000000
306263	9,720000	9,810000	0,000000
306270	9,750000	9,860000	0,000000
306277	9,810000	9,890000	0,000000
306283	9,780000	9,910000	0,000000
306290	9,740000	9,820000	0,000000
306297	9,730000	9,780000	0,000000
306305	9,700000	9,800000	0,000000
306311	9,700000	9,820000	0,000000
306318	9,710000	9,800000	0,000000
306325	9,780000	9,880000	0,000000
306331	9,800000	9,870000	0,000000
306338	9,820000	9,880000	0,000000
306345	9,770000	9,850000	0,000000
306353	9,730000	9,820000	0,000000
306359	9,690000	9,780000	0,000000
306366	9,680000	9,800000	0,000000
306373	9,710000	9,820000	0,000000
306380	9,750000	9,860000	0,000000
306386	9,750000	9,870000	0,000000
306394	9,760000	9,880000	0,000000
306401	9,720000	9,820000	0,000000
306407	9,740000	9,810000	0,000000
306414	9,730000	9,800000	0,000000
306421	9,720000	9,810000	0,000000
306428	9,720000	9,810000	0,000000
306435	9,710000	9,850000	0,000000
306442	9,750000	9,840000	0,000000
306449	9,770000	9,860000	0,000000
306456	9,760000	9,850000	0,000000
306462	9,710000	9,830000	0,000000
306469	9,680000	9,810000	0,000000
306477	9,710000	9,830000	0,000000
306483	9,720000	9,840000	0,000000
306490	9,720000	9,820000	0,000000
306497	9,790000	9,850000	0,000000
306504	9,780000	9,870000	0,000000
306510	9,740000	9,850000	0,000000
306518	9,710000	9,810000	0,000000
306525	9,720000	9,800000	0,000000
306532	9,730000	9,760000	0,000000
306538	9,730000	9,820000	0,000000
306545	9,770000	9,840000	0,000000
306552	9,780000	9,850000	0,000000
306558	9,730000	9,850000	0,000000
306566	9,730000	9,820000	0,000000
306573	9,700000	9,810000	0,000000
306580	9,680000	9,810000	0,000000
306586	9,700000	9,780000	0,000000
306593	9,730000	9,840000	0,000000
306600	9,750000	9,860000	0,000000
306608	9,780000	9,860000	0,000000
306614	9,730000	9,820000	0,000000
306621	9,730000	9,860000	0,000000
306628	9,760000	9,800000	0,000000
306634	9,730000	9,830000	0,000000
306641	9,730000	9,820000	0,000000
306649	9,780000	9,870000	0,000000
306656	9,800000	9,900000	0,000000
306662	9,770000	9,880000	0,000000
306669	9,760000	9,820000	0,000000
306676	9,790000	9,870000	0,000000
306683	9,720000	9,830000	0,000000
306690	9,690000	9,820000	0,000000
306697	9,740000	9,810000	0,000000
306704	9,770000	9,850000	0,000000
306710	9,790000	9,870000	0,000000
306717	9,770000	9,880000	0,000000
306724	9,730000	9,830000	0,000000
306732	9,710000	9,790000	0,000000
306738	9,660000	9,760000	0,000000
306745	9,670000	9,790000	0,000000
306752	9,670000	9,780000	0,000000
306759	9,730000	9,860000	0,000000
306765	9,790000	9,880000	0,000000
306772	9,810000	9,860000	0,000000
306780	9,760000	9,840000	0,000000
306786	9,740000	9,820000	0,000000
306793	9,700000	9,830000	0,000000
306800	9,680000	9,810000	0,000000
306807	9,710000	9,790000	0,000000
306813	9,750000	9,840000	0,000000
306821	9,760000	9,890000	0,000000
306828	9,780000	9,870000	0,000000
306835	9,760000	9,850000	0,000000
306841	9,740000	9,820000	0,000000
306848	9,740000	9,830000	0,000000
306855	9,740000	9,820000	0,000000
306862	9,690000	9,780000	0,000000
306869	9,760000	9,860000	0,000000
306876	9,750000	9,900000	0,000000
306883	9,790000	9,910000	0,000000
306889	9,740000	9,880000	0,000000
306896	9,730000	9,820000	0,000000
306904	9,720000	9,800000	0,000000
306911	9,730000	9,800000	0,000000
306917	9,700000	9,810000	0,000000
306924	9,730000	9,830000	0,000000
306931	9,780000	9,870000	0,000000
306937	9,790000	9,880000	0,000000
306945	9,800000	9,860000	0,000000
306952	9,760000	9,800000	0,000000
306959	9,730000	9,790000	0,000000
306965	9,720000	9,800000	0,000000
306972	9,720000	9,820000	0,000000
306979	9,730000	9,810000	0,000000
306987	9,800000	9,850000	0,000000
306993	9,800000	9,850000	0,000000
307000	9,760000	9,870000	0,000000
307007	9,730000	9,850000	0,000000
307013	9,710000	9,780000	0,000000
307020	9,680000	9,760000	0,000000
307027	9,700000	9,790000	0,000000
307035	9,740000	9,810000	0,000000
307041	9,730000	9,880000	0,000000
307048	9,780000	9,880000	0,000000
307055	9,760000	9,910000	0,000000
307062	9,760000	9,850000	0,000000
307068	9,730000	9,830000	0,000000
307076	9,700000	9,810000	0,000000
307083	9,680000	9,770000	0,000000
307089	9,690000	9,780000	0,000000
307096	9,710000	9,810000	0,000000
307103	9,760000	9,870000	0,000000
307110	9,760000	9,860000	0,000000
307117	9,760000	9,840000	0,000000
307124	9,720000	9,830000	0,000000
307131	9,700000	9,790000	0,000000
307138	9,710000	9,810000	0,000000
307144	9,720000	9,810000	0,000000
307151	9,780000	9,810000	0,000000
307159	9,740000	9,880000	0,000000
307165	9,800000	9,910000	0,000000
307172	9,750000	9,870000	0,000000
307179	9,740000	9,810000	0,000000
307186	9,720000	9,780000	0,000000
307192	9,710000	9,800000	0,000000
307200	9,710000	9,800000	0,000000
307207	9,730000	9,800000	0,000000
307214	9,750000	9,870000	0,000000
307220	9,790000	9,880000	0,000000
307227	9,750000	9,870000	0,000000
307234	9,750000	9,820000	0,000000
307241	9,720000	9,800000	0,000000
307248	9,730000	9,790000	0,000000
307255	9,710000	9,810000	0,000000
307262	9,720000	9,850000	0,000000
307268	9,730000	9,890000	0,000000
307275	9,800000	9,910000	0,000000
307282	9,780000	9,900000	0,000000
307290	9,720000	9,830000	0,000000
307296	9,720000	9,800000	0,000000
307303	9,690000	9,790000	0,000000
307310	9,720000	9,850000	0,000000
307317	9,690000	9,870000	0,000000
307323	9,740000	9,880000	0,000000
307331	9,770000	9,890000	0,000000
307338	9,770000	9,900000	0,000000
307344	9,740000	9,840000	0,000000
307351	9,730000	9,820000	0,000000
307358	9,700000	9,820000	0,000000
307365	9,710000	9,810000	0,000000
307372	9,740000	9,870000	0,000000
307379	9,760000	9,850000	0,000000
307386	9,780000	9,890000	0,000000
307393	9,770000	9,880000	0,000000
