time	CH1	CH2	CH3
2210	9,730000	9,850000	0,000000
2217	9,720000	9,800000	0,000000
2224	9,720000	9,840000	0,000000
2231	9,780000	9,780000	0,000000
2237	9,740000	9,800000	0,000000
2244	9,740000	9,810000	0,000000
2251	9,730000	9,800000	0,000000
2257	9,730000	9,830000	0,000000
2265	9,760000	9,840000	0,000000
2271	9,720000	9,820000	0,000000
2278	9,720000	9,810000	0,000000
2284	9,720000	9,780000	0,000000
2291	9,730000	9,800000	0,000000
2298	9,730000	9,830000	0,000000
2305	9,720000	9,790000	0,000000
2312	9,750000	9,850000	0,000000
2318	9,730000	9,810000	0,000000
2325	9,760000	9,800000	0,000000
2331	9,730000	9,850000	0,000000
2338	9,760000	9,810000	0,000000
2344	9,720000	9,820000	0,000000
2352	9,750000	9,840000	0,000000
2359	9,740000	9,820000	0,000000
2365	9,740000	9,780000	0,000000
2372	9,720000	9,810000	0,000000
2378	9,750000	9,830000	0,000000
2385	9,720000	9,820000	0,000000
2392	9,740000	9,840000	0,000000
2399	9,740000	9,820000	0,000000
2406	9,730000	9,850000	0,000000
2412	9,760000	9,810000	0,000000
2419	9,740000	9,840000	0,000000
2425	9,720000	9,860000	0,000000
2433	9,740000	9,850000	0,000000
2440	9,720000	9,830000	0,000000
2446	9,750000	9,850000	0,000000
2453	9,740000	9,870000	0,000000
2459	9,740000	9,800000	0,000000
2466	9,740000	9,820000	0,000000
2472	9,710000	9,830000	0,000000
2480	9,720000	9,860000	0,000000
2487	9,710000	9,840000	0,000000
2493	9,750000	9,850000	0,000000
2500	9,740000	9,830000	0,000000
2506	9,730000	9,850000	0,000000
2513	9,700000	9,860000	0,000000
2520	9,740000	9,840000	0,000000
2527	9,730000	9,850000	0,000000
2534	9,740000	9,800000	0,000000
2540	9,750000	9,800000	0,000000
2547	9,700000	9,820000	0,000000
2553	9,770000	9,810000	0,000000
2561	9,750000	9,830000	0,000000
2567	9,730000	9,850000	0,000000
2574	9,750000	9,830000	0,000000
2581	9,750000	9,850000	0,000000
2587	9,740000	9,810000	0,000000
2594	9,760000	9,830000	0,000000
2600	9,740000	9,820000	0,000000
2608	9,770000	9,860000	0,000000
2614	9,730000	9,840000	0,000000
2621	9,740000	9,830000	0,000000
2628	9,740000	9,850000	0,000000
2634	9,770000	9,840000	0,000000
2641	9,760000	9,810000	0,000000
2648	9,750000	9,820000	0,000000
2655	9,760000	9,790000	0,000000
2661	9,760000	9,820000	0,000000
2668	9,750000	9,850000	0,000000
2675	9,740000	9,840000	0,000000
2681	9,740000	9,850000	0,000000
2689	9,720000	9,830000	0,000000
2695	9,740000	9,850000	0,000000
2702	9,760000	9,840000	0,000000
2708	9,730000	9,790000	0,000000
2715	9,730000	9,800000	0,000000
2722	9,730000	9,820000	0,000000
2728	9,750000	9,810000	0,000000
2736	9,730000	9,800000	0,000000
2742	9,760000	9,800000	0,000000
2749	9,730000	9,790000	0,000000
2755	9,740000	9,820000	0,000000
2762	9,740000	9,800000	0,000000
2769	9,720000	9,790000	0,000000
2776	9,750000	9,840000	0,000000
2783	9,750000	9,830000	0,000000
2789	9,740000	9,830000	0,000000
2796	9,750000	9,840000	0,000000
2802	9,750000	9,820000	0,000000
2809	9,750000	9,830000	0,000000
2817	9,780000	9,850000	0,000000
2823	9,730000	9,830000	0,000000
2830	9,760000	9,830000	0,000000
2836	9,750000	9,840000	0,000000
2843	9,720000	9,790000	0,000000
2849	9,760000	9,820000	0,000000
2856	9,730000	9,810000	0,000000
2864	9,740000	9,830000	0,000000
2870	9,740000	9,840000	0,000000
2877	9,750000	9,850000	0,000000
2883	9,720000	9,800000	0,000000
2890	9,760000	9,820000	0,000000
2896	9,770000	9,860000	0,000000
2904	9,730000	9,810000	0,000000
2911	9,710000	9,830000	0,000000
2917	9,750000	9,840000	0,000000
2924	9,750000	9,820000	0,000000
2930	9,760000	9,830000	0,000000
2937	9,720000	9,850000	0,000000
2944	9,750000	9,840000	0,000000
2951	9,720000	9,860000	0,000000
2958	9,720000	9,840000	0,000000
2964	9,730000	9,840000	0,000000
2971	9,750000	9,820000	0,000000
2977	9,760000	9,820000	0,000000
2984	9,760000	9,800000	0,000000
2991	9,750000	9,850000	0,000000
2998	9,750000	9,850000	0,000000
3005	9,730000	9,830000	0,000000
3011	9,740000	9,840000	0,000000
3018	9,710000	9,820000	0,000000
3024	9,740000	9,820000	0,000000
3032	9,760000	9,820000	0,000000
3038	9,750000	9,810000	0,000000
3045	9,740000	9,830000	0,000000
3052	9,760000	9,840000	0,000000
3058	9,760000	9,820000	0,000000
3065	9,760000	9,800000	0,000000
3072	9,720000	9,820000	0,000000
3079	9,750000	9,850000	0,000000
3085	9,720000	9,800000	0,000000
3092	9,720000	9,830000	0,000000
3099	9,730000	9,830000	0,000000
3105	9,780000	9,830000	0,000000
3112	9,770000	9,810000	0,000000
3119	9,760000	9,830000	0,000000
3126	9,750000	9,810000	0,000000
3132	9,740000	9,830000	0,000000
3139	9,740000	9,840000	0,000000
3146	9,740000	9,810000	0,000000
3152	9,740000	9,830000	0,000000
3160	9,730000	9,820000	0,000000
3166	9,750000	9,810000	0,000000
3173	9,760000	9,800000	0,000000
3179	9,730000	9,830000	0,000000
3186	9,720000	9,800000	0,000000
3193	9,690000	9,830000	0,000000
3200	9,750000	9,820000	0,000000
3207	9,760000	9,780000	0,000000
3213	9,720000	9,850000	0,000000
3220	9,720000	9,830000	0,000000
3226	9,750000	9,810000	0,000000
3233	9,740000	9,790000	0,000000
3240	9,720000	9,820000	0,000000
3247	9,730000	9,780000	0,000000
3254	9,780000	9,800000	0,000000
3260	9,750000	9,840000	0,000000
3267	9,730000	9,840000	0,000000
3273	9,730000	9,820000	0,000000
3280	9,750000	9,820000	0,000000
3288	9,710000	9,840000	0,000000
3294	9,750000	9,820000	0,000000
3301	9,720000	9,790000	0,000000
3307	9,740000	9,800000	0,000000
3314	9,740000	9,820000	0,000000
3320	9,750000	9,850000	0,000000
3328	9,780000	9,850000	0,000000
